REQUEST ID,,SITE LOCATION,STORET STATION,LATITUDE,,LONGITUDE,FIELD ID,DATE SAMPLED,DATE RECEIVED,,DATE ANALYZED,GROUP ID,ANALYSIS,,COMPONENT,,,STORET PARAMETER,RESULT,REMARK,MDL,PQL,UNITS,TEST COMMENTS,MATRIX,TEMPERATURE,SPECIFIC CONDUCTANCE,SALINITY,PH,DISSOLVED O2,SAMPLE DEPTH,BATCH ID,SAMPLE ID,PRESERVATION,REFERENCE METHOD
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,"Chlorophyll-a, Corrected",,,32211,0.82,U,0.82,2.5,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-FIELD-BK,,,,,,,P373192,2128324,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,"Chlorophyll-a, Uncorrected",,,32210,0.60,U,0.60,1.8,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-FIELD-BK,,,,,,,P373192,2128324,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Field Blank,,,,,Field Blank,15-Oct-2019 10:45,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,Phaeophytin-a,,,32218,0.90,U,0.90,2.7,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-FIELD-BK,,,,,,,P373192,2128324,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,16-Oct-2019 12:33,CHEMISTRY,W-PO4-F,,O-Phosphate-P,,,00671,0.006,I,0.0040,0.010,mg P/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372621,2128364,FILTER-ICE,EPA 365.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,16-Oct-2019 14:11,CHEMISTRY,W-NO2-F,,Nitrite-N,,,00613,0.002,U,0.0020,0.0050,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372842,2128364,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,16-Oct-2019 14:11,CHEMISTRY,W-NO3-F,,Nitrate-N,,,00620,0.004,U,0.004,0.010,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373491,2128364,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,16-Oct-2019 16:27,CHEMISTRY,TURBIDITY,,Turbidity,,,00076,6.3,,0.10,0.13,NTU,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372600,2128348,ICE,EPA 180.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,17-Oct-2019 14:30,BIOLOGY,FCOLI-MF,,Fecal Coliforms-Membrane Filter,,,31616,2,BJQ,2,2,cfu/100 mL,Precision data for QC sample is unavailable due to the colony count falling outside of method acceptable range. See Non-Conformance Report #7995.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373375,2128333,ICE,SM 9222 D
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,18-Oct-2019 15:45,CHEMISTRY,W-TSS,,TSS,,,00530,9,I,3.0,10,mg/L,Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373259,2128348,ICE,SM 2540 D-97
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,18-Oct-2019 17:07,CHEMISTRY,W-TKN-F,,"Kjeldahl Nitrogen, filtered",,,00623,0.29,I,0.16,0.40,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372667,2128356,FILTER-H2SO4-ICE,EPA 351.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,19-Oct-2019 14:49,CHEMISTRY,W-DOC,,Organic Carbon,,,00681,2.6,,1.0,2.0,mg C/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372784,2128356,FILTER-H2SO4-ICE,SM 5310 B-00
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,21-Oct-2019 13:36,CHEMISTRY,W-NH3-F,,Ammonia-N,,,00608,0.006,,0.0020,0.0050,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372886,2128356,FILTER-H2SO4-ICE,EPA 350.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,21-Oct-2019 16:55,BIOLOGY,CHL-MDFL-W,,"Chlorophyll-a, Modified Fluorometric",,,32211,7.9,,0.17,0.51,ug/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372981,2128327,ICE,EPA 445.0 (mod)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,22-Oct-2019 13:43,CHEMISTRY,W-S-A-TP,,Total-P,,,00665,0.025,,0.0040,0.010,mg P/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372744,2128372,ICE And H2SO4,EPA 365.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,22-Oct-2019 14:18,CHEMISTRY,W-NO2NO3-F,,NO2NO3-N,,,00631,0.004,U,0.0040,0.010,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372919,2128356,FILTER-H2SO4-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,23-Oct-2019 14:25,CHEMISTRY,W-TKN,,Kjeldahl Nitrogen,,,00625,0.27,I,0.16,0.40,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372927,2128372,ICE And H2SO4,EPA 351.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,"Chlorophyll-a, Corrected",,,32211,7.4,,0.89,2.7,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373192,2128314,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,"Chlorophyll-a, Uncorrected",,,32210,8.1,,0.65,2.0,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373192,2128314,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.1,15-Oct-2019 10:47,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,Phaeophytin-a,,,32218,0.98,U,0.98,2.9,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373192,2128314,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,16-Oct-2019 12:33,CHEMISTRY,W-PO4-F,,O-Phosphate-P,,,00671,0.005,I,0.0040,0.010,mg P/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372621,2128365,FILTER-ICE,EPA 365.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,16-Oct-2019 14:12,CHEMISTRY,W-NO2-F,,Nitrite-N,,,00613,0.002,U,0.0020,0.0050,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372842,2128365,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,16-Oct-2019 14:12,CHEMISTRY,W-NO3-F,,Nitrate-N,,,00620,0.004,U,0.004,0.010,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373491,2128365,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,16-Oct-2019 16:27,CHEMISTRY,TURBIDITY,,Turbidity,,,00076,5.9,,0.10,0.13,NTU,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372600,2128349,ICE,EPA 180.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,17-Oct-2019 14:30,BIOLOGY,FCOLI-MF,,Fecal Coliforms-Membrane Filter,,,31616,2,UJQ,2.0,2.0,cfu/100 mL,Precision data for QC sample is unavailable due to the colony count falling outside of method acceptable range. See Non-Conformance Report #7995.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373375,2128334,ICE,SM 9222 D
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,18-Oct-2019 15:45,CHEMISTRY,W-TSS,,TSS,,,00530,10,,3.0,10,mg/L,Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373259,2128349,ICE,SM 2540 D-97
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,18-Oct-2019 17:09,CHEMISTRY,W-TKN-F,,"Kjeldahl Nitrogen, filtered",,,00623,0.28,I,0.16,0.40,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372667,2128357,FILTER-H2SO4-ICE,EPA 351.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,19-Oct-2019 15:01,CHEMISTRY,W-DOC,,Organic Carbon,,,00681,2.4,,1.0,2.0,mg C/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372784,2128357,FILTER-H2SO4-ICE,SM 5310 B-00
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,21-Oct-2019 13:43,CHEMISTRY,W-NH3-F,,Ammonia-N,,,00608,0.004,I,0.0020,0.0050,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372886,2128357,FILTER-H2SO4-ICE,EPA 350.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,22-Oct-2019 13:44,CHEMISTRY,W-S-A-TP,,Total-P,,,00665,0.028,,0.0040,0.010,mg P/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372744,2128373,ICE And H2SO4,EPA 365.1 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,22-Oct-2019 14:19,CHEMISTRY,W-NO2NO3-F,,NO2NO3-N,,,00631,0.004,U,0.0040,0.010,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372919,2128357,FILTER-H2SO4-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,23-Oct-2019 14:26,CHEMISTRY,W-TKN,,Kjeldahl Nitrogen,,,00625,0.36,I,0.16,0.40,mg N/L,,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P372927,2128373,ICE And H2SO4,EPA 351.2 Rev. 2.0
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,"Chlorophyll-a, Corrected",,,32211,5.5,,0.82,2.5,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373192,2128315,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,"Chlorophyll-a, Uncorrected",,,32210,5.9,,0.60,1.8,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373192,2128315,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Fort Matanzas,GTMFMNUT,,,,gtmfmnut1.2,15-Oct-2019 10:51,16-Oct-2019 10:05,,24-Oct-2019 09:21,BIOLOGY,CHLSUITE-W,,Phaeophytin-a,,,32218,0.90,U,0.90,2.7,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.,W-SURF-SLT,26.8 C,53732 umhos/cm,,7.96 ,5.74 mg/L,3.0 m,P373192,2128315,ICE,SM 10200 H (mod.)
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,16-Oct-2019 12:34,CHEMISTRY,W-PO4-F,,O-Phosphate-P,,,00671,0.012,,0.0040,0.010,mg P/L,,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372621,2128366,FILTER-ICE,EPA 365.1 Rev. 2.0
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,16-Oct-2019 14:06,CHEMISTRY,W-NO2-F,,Nitrite-N,,,00613,0.002,U,0.0020,0.0050,mg N/L,,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372842,2128366,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,16-Oct-2019 14:06,CHEMISTRY,W-NO3-F,,Nitrate-N,,,00620,0.004,U,0.004,0.010,mg N/L,,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P373491,2128366,FILTER-ICE,EPA 353.2 Rev. 2.0
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,16-Oct-2019 16:27,CHEMISTRY,TURBIDITY,,Turbidity,,,00076,8.8,,0.10,0.13,NTU,,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372600,2128350,ICE,EPA 180.1 Rev. 2.0
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,17-Oct-2019 13:52,CHEMISTRY,W-E8321-DI,,AMPA,,,,0.10,UJ,0.10,0.40,ug/L,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372594,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,17-Oct-2019 13:52,CHEMISTRY,W-E8321-DI,,Glufosinate,,,,0.10,UJ,0.10,0.40,ug/L,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372594,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,17-Oct-2019 13:52,CHEMISTRY,W-E8321-DI,,Glyphosate,,,,0.10,UJ,0.10,0.40,ug/L,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372594,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,17-Oct-2019 14:29,BIOLOGY,ENT-24-QT,,Enterococci-Quanti-Tray,,,31649,20.0,Q,10,10,MPN/100 mL,,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P373062,2128342,ICE,Enterolert/QT
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,17-Oct-2019 14:30,BIOLOGY,FCOLI-MF,,Fecal Coliforms-Membrane Filter,,,31616,7,BJQ,2,2,cfu/100 mL,Precision data for QC sample is unavailable due to the colony count falling outside of method acceptable range. See Non-Conformance Report #7995.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P373375,2128335,ICE,SM 9222 D
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,18-Oct-2019 15:45,CHEMISTRY,W-TSS,,TSS,,,00530,14,,3.0,10,mg/L,Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P373259,2128350,ICE,SM 2540 D-97
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,18-Oct-2019 16:25,CHEMISTRY,W-E8321-DI,,Acesulfame K,,,,0.10,U,0.10,0.40,ug/L,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372594,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,18-Oct-2019 16:25,CHEMISTRY,W-E8321-DI,,Endothall,,,,0.25,U,0.25,1.0,ug/L,Refer to the narrative for an explanation of QC Codes. Surrogate spike recovery exceeding the control limits. Results confirmed in re-extraction.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372594,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,18-Oct-2019 17:11,CHEMISTRY,W-TKN-F,,"Kjeldahl Nitrogen, filtered",,,00623,0.41,,0.16,0.40,mg N/L,,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372667,2128358,FILTER-H2SO4-ICE,EPA 351.2 Rev. 2.0
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,19-Oct-2019 08:28,CHEMISTRY,W-E8321-MS,,"2,4-D",,,39730,0.0020,U,0.0020,0.0080,ug/L,MS accuracy for imazapyr could not be assessed due to high concentration of parameter in the spiked sample.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372556,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,19-Oct-2019 08:28,CHEMISTRY,W-E8321-MS,,Acetaminophen,,,,0.0080,U,0.0080,0.032,ug/L,MS accuracy for imazapyr could not be assessed due to high concentration of parameter in the spiked sample.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372556,2128404,ICE,EPA 8321B
RQ-2019-09-23-02,,Pellicer Creek,GTMPCNUT,,,,gtmpcnut1.1,15-Oct-2019 13:37,16-Oct-2019 10:05,,19-Oct-2019 08:28,CHEMISTRY,W-E8321-MS,,Bentazon,,,,0.0011,I,8.0E-04,0.0032,ug/L,MS accuracy for imazapyr could not be assessed due to high concentration of parameter in the spiked sample.,W-BRACKISH,27.4 C,44375 umhos/cm,,6.78 ,6.84 mg/L,1.6 m,P372556,2128404,ICE,EPA 8321B
