"","stationcode","datetimestamp","monitoringprogram","replicate","temperature","specificconductance","ph","dissolvedoxygen","2,4-d1","acetaminophen1","ammonia-n1","bentazon1","carbamazepine1","chlorophyll-a, corrected1","chlorophyll-a, corrected2","chlorophyll-a, modified fluorometric1","chlorophyll-a, uncorrected1","chlorophyll-a, uncorrected2","diuron1","escherichia coli-quanti-tray1","fecal coliforms-membrane filter1","fenuron1","fluridone1","hydrocodone1","ibuprofen1","imazapyr1","imidacloprid1","kjeldahl nitrogen filtered1","kjeldahl nitrogen1","linuron1","mcpp1","naproxen1","nitrate-n1","nitrite-n1","no2no3-n1","o-phosphate-p1","organic carbon1","phaeophytin-a1","phaeophytin-a2","primidone1","pyraclostrobin1","sucralose1","total-p1","triclopyr1","tss1","F_2,4-d1","F_acetaminophen1","F_ammonia-n1","F_bentazon1","F_carbamazepine1","F_chlorophyll-a, corrected1","F_chlorophyll-a, corrected2","F_chlorophyll-a, modified fluorometric1","F_chlorophyll-a, uncorrected1","F_chlorophyll-a, uncorrected2","F_diuron1","F_escherichia coli-quanti-tray1","F_fecal coliforms-membrane filter1","F_fenuron1","F_fluridone1","F_hydrocodone1","F_ibuprofen1","F_imazapyr1","F_imidacloprid1","F_kjeldahl nitrogen filtered1","F_kjeldahl nitrogen1","F_linuron1","F_mcpp1","F_naproxen1","F_nitrate-n1","F_nitrite-n1","F_no2no3-n1","F_o-phosphate-p1","F_organic carbon1","F_phaeophytin-a1","F_phaeophytin-a2","F_primidone1","F_pyraclostrobin1","F_sucralose1","F_total-p1","F_triclopyr1","F_tss1"
"23","gtmfmnut","2018-11-06 11:37:00","1","1","24.8","53895","7.97","5.43"," "," ","0.021"," "," ","3.8"," "," ","4.4"," "," "," ","13"," "," "," "," "," "," ","0.24","0.41"," "," "," ","0.008","0.002","0.01","0.017","2.4","0.77"," "," "," "," ","0.047"," ","10"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," ","I","I","I"," "," ","I"," "," "," "," "," "," "," "
"24","gtmfmnut","2018-12-04 10:55:00","1","1","20.5","50659","7.91","6.16"," "," ","0.047"," "," ","2.2"," "," ","2.7"," "," "," ","10"," "," "," "," "," "," ","0.35","0.48"," "," "," ","0.15","0.003","0.15","0.020","3.6","0.74"," "," "," "," ","0.043"," ","11"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," "," ","I"," "," "," ","I"," "," "," "," "," "," ","A"
"25","gtmfmnut","2018-01-16 12:58:00","1","2","12.2","48360","7.48","10.59"," "," ","0.008"," "," ","1.3"," "," ","1.6"," "," "," ","10"," "," "," "," "," "," ","0.31","0.29"," "," "," ","0.011","0.002","0.011","0.018","4.8","0.40"," "," "," "," ","0.035"," ","7"," "," "," "," "," ","I"," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," "," ","U"," "," "," ","U"," "," "," "," "," "," ","I"
"26","gtmfmnut","2018-02-13 12:25:00","1","2","19.7","47680","7.69","6.67"," "," ","0.019"," "," ","1.9"," "," ","2.5"," "," "," ","13"," "," "," "," "," "," ","0.34","0.40"," "," "," ","0.006","0.002","0.007","0.016","5.0","1.1"," "," "," "," ","0.040"," ","10"," "," "," "," "," "," "," "," ","A"," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," ","I","U","I"," "," ","I"," "," "," "," "," "," "," "
"27","gtmfmnut","2018-03-27 11:06:00","1","2","18.2","52350","7.48","7.37"," "," ","0.013"," "," ","2.0"," "," ","2.2"," "," "," ","2"," "," "," "," "," "," ","0.33","0.18"," "," "," ","0.014","0.002","0.014","0.014","3.1","0.40"," "," "," "," ","0.036"," ","10"," "," "," "," "," "," "," "," "," "," "," "," ","UQ"," "," "," "," "," "," ","I","I"," "," "," "," ","U"," "," "," ","U"," "," "," "," "," "," "," "
"28","gtmfmnut","2018-04-25 10:17:00","1","2","21.5","51846","7.59","6.98"," "," ","0.026"," "," ","2.9"," "," ","3.5"," "," "," ","2"," "," "," "," "," "," ","0.24","0.35"," "," "," ","0.006","0.002","0.006","0.013","2.9","0.86"," "," "," "," ","0.040"," ","14"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," ","I","U","I"," "," ","I"," "," "," "," "," "," "," "
"29","gtmfmnut","2018-05-29 13:30:00","1","2","26.4","44611","7.53","5.78"," "," ","0.024"," "," ","15"," "," ","17"," "," "," ","8"," "," "," "," "," "," ","0.42","0.61"," "," "," ","0.004","0.003","0.007","0.017","6.3","3.5"," "," "," "," ","0.065"," ","20"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," "," "," "," "," "," ","I","I","I"," "," "," "," "," "," "," "," "," "," "
"30","gtmfmnut","2018-06-12 11:53:00","1","2","27.2","47038","7.54","5.04"," "," ","0.087"," "," ","6.4"," "," ","7.7"," "," "," ","15"," "," "," "," "," "," ","0.46","0.58"," "," "," ","0.014","0.004","0.018","0.027","5.6","1.6"," "," "," "," ","0.063"," ","17"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," "," "," "," "," "," ","Q","IQ"," "," "," "," "," "," "," "," "," "," "," "
"31","gtmfmnut","2018-07-24 11:50:00","1","2","26.9","53212","7.60","4.77"," "," ","0.060"," "," ","5.2"," "," ","6.5"," "," "," ","2"," "," "," "," "," "," ","0.36","0.38"," "," "," ","0.010","0.003","0.014","0.024","3.2","1.9"," "," "," "," ","0.061"," ","16"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," "," ","I"," "," "," "," "," "," "," "," "," "," "," "
"32","gtmfmnut","2018-08-07 10:08:00","1","2","29.6","45876","7.69","4.07"," "," ","0.057"," "," ","5.6"," "," ","7.6"," "," "," ","8"," "," "," "," "," "," ","0.42","0.71"," "," "," ","0.017","0.002","0.020","0.028","7.6","3.0"," "," "," "," ","0.067"," ","13"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," "," "," "," "," "," "," ","I"," "," "," "," "," "," "," "," "," "," "," "
"33","gtmfmnut","2018-09-05 09:46:00","1","2","28.1","53340","7.88","4.96"," "," ","0.031"," "," ","5.3"," "," ","6.3"," "," "," ","3"," "," "," "," "," "," ","0.25","0.36"," "," "," ","0.007","0.002","0.009","0.022","2.6","1.3"," "," "," "," ","0.053"," ","12"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," ","I","U","I"," "," ","I"," "," "," "," "," "," "," "
"34","gtmfmnut","2018-10-23 09:13:00","1","2","25.2","53990","8.02","5.97"," "," ","0.017"," "," ","4.1"," "," ","4.8"," "," "," ","5"," "," "," "," "," "," ","0.31","0.31"," "," "," ","0.004","0.007","0.008","0.012","1.8","0.89"," "," "," "," ","0.035"," ","10"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," ","U"," ","I"," ","I","I"," "," "," "," "," "," ","I"
"35","gtmfmnut","2018-11-06 11:38:00","1","2","24.8","53895","7.97","5.43"," "," ","0.023"," "," ","4.1"," "," ","4.7"," "," "," ","13"," "," "," "," "," "," ","0.28","0.43"," "," "," ","0.007","0.002","0.01","0.017","2.4","0.81"," "," "," "," ","0.047"," ","11"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I"," "," "," "," ","I","I","I"," "," ","I"," "," "," "," "," "," "," "
"36","gtmfmnut","2018-12-04 10:57:00","1","2","20.5","50659","7.91","6.16"," "," ","0.046"," "," ","2.1"," "," ","2.6"," "," "," ","8"," "," "," "," "," "," ","0.30","0.36"," "," "," ","0.15","0.003","0.15","0.020","3.5","0.69"," "," "," "," ","0.044"," ","10"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," "," ","I"," "," "," ","I"," "," "," "," "," "," ","IA"
"37","gtmpcnut","2018-01-16 10:54:00","1","1","11.0","16162","6.76","9.69","0.0020","0.0080","0.032","0.016","4.0E-04","1.7","2.2","2.9","2.3","2.7","0.0020","238.0","160","0.0080","4.0E-04"," "," "," ","0.0023","0.67","0.78","0.0040","0.0020"," ","0.007","0.006","0.013","0.032","22","0.67","0.85","0.0040"," ","0.071","0.058","0.0040","7","U","U"," "," ","U"," ","I"," "," "," ","U","QJ","BQ","U","U"," "," "," ","I"," "," ","U","U"," ","I"," "," "," "," ","I","I","U"," "," "," ","U","I"
"38","gtmpcnut","2018-02-13 10:59:00","1","1","21.5","2629","6.58","6.24","0.0020","0.0080","0.051","0.0033","4.0E-04","2.4","2.6","5.4","3.2","3.5","0.0020","395.0","300","0.0080","4.0E-04"," "," "," ","0.0037","0.82","0.79","0.0040","0.0020"," ","0.037","0.003","0.037","0.047","30","1.2","1.2","0.0040"," ","0.081","0.081","0.0040","8","U","U"," "," ","U"," "," "," "," "," ","U","Q","Q","U","U"," "," "," ","I"," "," ","U","U"," "," ","U"," "," "," ","I","I","U"," "," "," ","U","I"
"39","gtmpcnut","2018-03-27 11:01:00","1","1","19.0","41382","7.29","6.72","0.0020","0.0080","0.006","0.0017","4.0E-04","5.1","5.1","20","5.9","5.8","0.0020","180.5","94","0.016","8.0E-04"," "," ","0.011","0.0020","0.41","0.31","0.0040","0.0020"," ","0.004","0.002","0.004","0.022","6.0","1.0","0.90","0.0040","0.0020","0.010","0.054","0.0040","9","U","U"," ","I","U"," "," "," "," "," ","U","AQ","Q","U","U"," "," ","I","U"," ","I","U","U"," ","U","U","U"," "," ","I","I","U","U","U"," ","U","I"
"40","gtmpcnut","2018-04-25 09:33:00","1","1","22.2","27081","6.55","5.80","0.0020","0.0080","0.022","0.0029","4.0E-04","11","5.7","37","14","7.0","0.0020","228.0","120","0.016","8.0E-04","8.0E-04"," ","0.13","0.0031","0.72","0.88","0.0040","0.0020"," ","0.008","0.006","0.013","0.033","23","3.1","1.8","0.0040","0.0020","0.10","0.085","0.0040","11","U","U"," ","I","U"," "," "," "," "," ","U","Q","BQ","U","U","U"," "," ","I"," "," ","U","U"," ","I"," "," "," "," "," "," ","U","U","U"," ","U"," "
"41","gtmpcnut","2018-05-29 11:59:00","1","1","26.0","413.0","7.63","5.08","0.0020","0.0080","0.036","8.0E-04","4.0E-04","4.3","4.3","22","5.9","5.9","0.0020","178.6","130","0.028","4.0E-04","8.0E-04"," ","0.11","0.0045","1.1","1.3","0.0040","0.0020"," ","0.016","0.003","0.017","0.052","40","2.4","2.3","0.0040","0.0020","0.010","0.10","0.0040","14","U","U"," ","U","U"," "," "," "," "," ","U","AQ","BQ","I","U","U"," "," ","I"," "," ","U","U"," "," ","U"," "," "," ","I","I","U","I","U"," ","U"," "
"42","gtmpcnut","2018-06-12 10:30:00","1","1","25.6","1020","6.58","4.44","0.0020","0.0080","0.030","8.0E-04","4.0E-04","6.9","7.2","33","8.6","8.9","0.0020","204.6","200","0.016","6.0E-04","8.0E-04"," ","0.11","0.0020","1.2","1.3","0.0040","0.0020"," ","0.022","0.003","0.023","0.049","40","2.4","2.5","0.0040","0.0020","0.010","0.084","0.0040","10","UJ","U"," ","UJ","U"," "," "," "," "," ","U","Q","Q","U","I","U"," "," ","U"," "," ","U","UJ"," "," ","U"," "," "," "," "," ","U","UJ","U"," ","UJ"," "
"43","gtmpcnut","2018-07-24 10:29:00","1","1","27.9","8632","6.95","5.04","0.0020","0.0080","0.055","0.0046","8.0E-04","13","11","94","15","14","0.0020","160.0","46","0.016","4.0E-04","8.0E-04"," ","0.079","0.0084","0.78","0.90","0.0040","0.0020"," ","0.032","0.008","0.040","0.042","23","3.5","3.2","0.0040","0.0020","0.010","0.091","0.0040","7","U","U"," "," ","U"," "," "," "," "," ","U","Q","Q","U","U","U"," "," "," "," "," ","U","U"," "," "," "," "," "," "," "," ","U","U","U"," ","UJ","I"
"44","gtmpcnut","2018-08-07 09:54:00","1","1","27.5","149.4","6.10","5.13","0.0020","0.0080","0.018","0.0013","8.0E-04","0.97","1.0","2.7","1.3","1.4","0.0020","258.6","230","0.016","4.0E-04","8.0E-04","0.020","0.15","0.0032","0.96","1.3","0.0040","0.0020","0.0080","0.011","0.003","0.011","0.038","43","0.51","0.59","0.0040","0.0020","0.010","0.056","0.0040","4","U","U"," ","I","U","I","I"," "," "," ","U","AJQ","Q","U","U","U","U"," ","I"," "," ","U","U","U"," ","U"," "," "," ","I","I","U","U","U"," ","U","I"
"45","gtmpcnut","2018-09-05 09:37:00","1","1","29.0","3568","7.01","4.81","0.0027","0.0080","0.031","8.0E-04","8.0E-04","8.1","8.5","44","10","11","0.0020","209.0","150","0.016","4.0E-04","8.0E-04","0.020","0.20","0.0020","0.73","0.95","0.0040","0.0020","0.0080","0.050","0.003","0.053","0.056","24","3.2","3.1","0.0040","0.0020","0.036","0.081","0.0040","10","I","U"," ","U","U"," "," ","J"," "," ","U","Q","BQ","U","U","U","U"," ","U"," "," ","U","U","U"," ","I"," "," "," "," "," ","U","U","I"," ","U"," "
"46","gtmpcnut","2018-10-23 11:54:00","1","1","22.7","38339","7.41","6.31","0.0022","0.0080","0.023","0.0036","8.0E-04","9.5"," "," ","11"," ","0.0020","104","60","0.016","5.1E-04","8.0E-04","0.020","0.079","0.0026","0.56","0.64","0.0040","0.0020","0.0080","0.017","0.003","0.020","0.031","13","2.7"," ","0.0040","0.0020","0.066","0.075","0.0040","18","I","U"," "," ","U"," "," "," "," "," ","U","AQ","Q","U","I","U","U"," ","I"," "," ","U","U","U"," ","I"," "," "," "," "," ","U","U"," "," ","U"," "
"47","gtmpcnut","2018-11-06 11:00:00","1","1","23.8","38038","7.25","5.56","0.0023","0.0080","0.020","0.0037","8.0E-04","6.0"," "," ","7.1"," ","0.0020","172.5","62","0.016","4.0E-04","8.0E-04","0.020","0.048","0.0036","0.45","0.58","0.0040","0.0020","0.0080","0.013","0.002","0.015","0.024","9.6","1.5"," ","0.0040","0.0020","0.12","0.064","0.0040","10","IY","UY","Y","Y","UY","Y"," "," ","Y"," ","UY","AQ","Q","UY","UY","UY","UY","Y","IY","Y","Y","UY","UY","UY","Y","IY","Y","Y","Y","IY"," ","UY","UY","Y","Y","UY","IY"
"48","gtmpcnut","2018-12-04 10:16:00","1","1","20.5","33184","6.90","6.49","0.0020","0.0080","0.057","0.0032","8.0E-04","3.0","3.2"," ","4.1","4.3","0.0020","120.5","39","0.016","4.0E-04","8.0E-04","0.020","0.040","0.0023","0.46","0.67","0.0040","0.0020","0.0080","0.15","0.003","0.15","0.029","14","1.6","1.6","0.0040","0.0020","0.021","0.055","0.0040","12","U","U"," ","I","U"," "," "," "," "," ","U","AQ","BQ","I","U","U","U"," ","I"," "," ","U","U","U"," ","I"," "," "," ","I","I","U","U","IJ"," ","U"," "
"49","gtmpcnut","2018-01-16 10:57:00","1","2","11.0","16162","6.76","9.69"," "," ","0.027"," "," ","1.8"," "," ","2.4"," "," "," ","170"," "," "," "," "," "," ","0.69","0.87"," "," "," ","0.005","0.006","0.010","0.032","22","0.88"," "," "," "," ","0.056"," ","7"," "," "," "," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," "," "," "," "," "," ","I"," "," "," "," ","I"," "," "," "," "," "," ","IA"
"50","gtmpcnut","2018-02-13 11:03:00","1","2","21.5","2629","6.58","6.24"," "," ","0.051"," "," ","2.0"," "," ","2.7"," "," "," ","270"," "," "," "," "," "," ","0.81","0.93"," "," "," ","0.034","0.003","0.034","0.046","31","1.0"," "," "," "," ","0.081"," ","7"," "," "," "," "," "," "," "," "," "," "," "," ","Q"," "," "," "," "," "," "," "," "," "," "," "," ","U"," "," "," ","I"," "," "," "," "," "," ","I"
"51","gtmpcnut","2018-03-27 11:06:00","1","2","19.0","41382","7.29","6.72"," "," ","0.004"," "," ","6.2"," "," ","7.1"," "," "," ","150"," "," "," "," "," "," ","0.26","0.33"," "," "," ","0.004","0.002","0.004","0.024","5.9","1.2"," "," "," "," ","0.056"," ","8"," "," ","I"," "," "," "," "," "," "," "," "," ","BQ"," "," "," "," "," "," ","I","I"," "," "," ","U","U","U"," "," ","I"," "," "," "," "," "," ","IA"
